Author Name,Book Name,Language,Words,Age,Views,Favorite
Eftos Ent.,Kingdom of a thousand,English,50579,0 and up,138532,1031
S. M. Bowes,Time Traveler,English,3514,0 and up,19872,176
Cory Doctorow,Makers,English,176902,0 and up,16868,84
S. G. Ricketts,Calypso,English,16071,0 and up,15699,299
A M Kirk,And the World Changes,English,72346,0 and up,10968,84
Geordi  Riker,Reality Heist,English,71655,12 and up,9591,105
Cory Doctorow,For the Win,English,164427,0 and up,9101,43
Cory Doctorow,Content,English,52807,0 and up,8513,16
Alan Gasparutti,The Twins Paradox,English,193132,0 and up,6570,53
Heather Ray,Power Ranger Ninja Storm,English,44072,14 and up,5473,13
Victor Hadnot and Amanda Travis,The Ecstasy of Tral-Gothica,English,36476,16 and up,5160,54
Sander R.B.E. Beals,Make IT Real!,English,96368,10 and up,5060,25
Nathan Todd,Halo The Spartan Chronicals P. 1,English,1347,0 and up,4947,53
Rob Astor,LEVIATHAN,English,18610,0 and up,4605,83
whitewolfhowlingaroo,His Mate,English,1444,0 and up,3967,117
Heather Ray,Turbo: A Power Rangers Movie,English,113718,14 and up,3906,4
Susan Bowes,The Enemy,English,9555,0 and up,3692,41
Patrick Sean  Lee,Maggie,English,3220,0 and up,3482,97
Cory Doctorow,"Someone Comes to Town, Someone Leaves Town",English,112671,0 and up,3206,9
Justin Mader,And Atlantis had existed tomorrow,English,76387,0 and up,3088,27
Jack London,The Jacket,English,103724,0 and up,2923,16
Daniel Pagan,NetherWorld,English,60343,0 and up,2641,30
Jack London,Jerry of the Islands,English,69981,0 and up,2515,19
Mike Morris,Limbo 56,English,88936,0 and up,2473,9
Fernando Herrera Jr,The Temple in the Sky,English,52638,0 and up,2400,32
Garrett P. Serviss,A Columbus of Space,English,70677,0 and up,2324,17
M J Marlow,Redemption,English,69630,16 and up,2092,24
DCS,Synarchy Book 1: The Awakening,English,15563,0 and up,2086,45
Kevin Bird,The Token,English,74876,0 and up,2039,24
Heather Ray,The Terran Rangers/The Spectrum Force/Sailor Moon - The Preliminaries Volume 5,English,29320,14 and up,1951,6
Kennedy Harkins,Interstellar Academy,English,67496,10 and up,1947,16
Heather Ray,The Terran Rangers/X-Men,English,41132,14 and up,1919,7
L.W. Samuelson,Traveller,English,118691,0 and up,1887,5
Heather Ray,Power Rangers Dino Thunder,English,6887,14 and up,1858,2
S. G. Ricketts,Dragon Dreamer,English,16486,0 and up,1724,66
Susan M. Bowes,"""Brainless""",English,9851,0 and up,1684,26
Stanley Grauman Weinbaum,A Martian Odyssey,English,10119,0 and up,1645,25
Trish Hanan,The Kids Grow Up,English,233661,0 and up,1592,14
Paul G Swanson,Fragment,English,49909,0 and up,1588,8
Mallory Davis,My Protector,English,17445,0 and up,1587,39
